"Date","Time","Close","y","AR1","AR2","AR3","EMA05","EMA10","MACD","CMO24","CMO48"
2015-09-14,21:00:00,1.13096,0.00098,-0.00049,-0.00045,0.00044,0.00048303,0.00053922,-0.00056406,0.25,0.16666667
2015-09-15,00:00:00,1.13194,-0.00289,0.00098,0.00049,0.00053,-0.00033137,-0.00036069,-0.00056199,0.33333333,0.20833333
2015-09-15,03:00:00,1.12905,0.00176,-0.00289,-0.00191,-0.0024,0.00170571,0.00206939,-0.00074312,0.25,0.20833333
2015-09-15,06:00:00,1.13081,-0.00056,0.00176,-0.00113,-0.00015,-3.625e-05,0.00025309,-0.00073114,0.33333333,0.20833333
2015-09-15,09:00:00,1.13025,-0.00413,-0.00056,0.0012,-0.00169,0.00034912,0.0006652,-0.00074514,0.25,0.20833333
2015-09-15,12:00:00,1.12612,0.00107,-0.00413,-0.00469,-0.00293,0.00298603,0.0039233,-0.00100082,0.16666667,0.16666667
2015-09-15,15:00:00,1.12719,-0.00084,0.00107,-0.00306,-0.00362,0.0012773,0.00233447,-0.00106045,0.16666667,0.16666667
2015-09-15,18:00:00,1.12635,0.00158,-0.00084,0.00023,-0.0039,0.00141148,0.00259724,-0.00111354,0.16666667,0.16666667
2015-09-15,21:00:00,1.12793,0.00112,0.00158,0.00074,0.00181,-0.00011239,0.00083224,-0.00100277,0.16666667,0.20833333
2015-09-16,00:00:00,1.12905,-0.00141,0.00112,0.0027,0.00186,-0.00082165,-0.00023549,-0.00082218,0.16666667,0.20833333
2015-09-16,03:00:00,1.12764,-0.00425,-0.00141,-0.00029,0.00129,0.00039218,0.00096092,-0.00076688,0.16666667,0.20833333
2015-09-16,06:00:00,1.12339,0.00339,-0.00425,-0.00566,-0.00454,0.00309474,0.00426343,-0.0009725,0.16666667,0.20833333
2015-09-16,09:00:00,1.12678,0.00337,0.00339,-0.00086,-0.00227,-0.00019689,0.00071457,-0.0008411,0.16666667,0.20833333
2015-09-16,12:00:00,1.13015,-0.00262,0.00337,0.00676,0.00251,-0.00237798,-0.00217267,-0.0005047,0.16666667,0.20833333
2015-09-16,15:00:00,1.12753,0.00142,-0.00262,0.00075,0.00414,0.0001613,0.00036595,-0.00043857,0.16666667,0.16666667
2015-09-16,18:00:00,1.12895,0.00044,0.00142,-0.0012,0.00217,-0.00083919,-0.00086245,-0.00028649,0.16666667,0.16666667
2015-09-16,21:00:00,1.12939,0.00069,0.00044,0.00186,-0.00076,-0.00085284,-0.00106569,-0.00015038,0.16666667,0.20833333
2015-09-17,00:00:00,1.13008,7e-05,0.00069,0.00113,0.00255,-0.00102861,-0.00143652,-1.514e-05,0.16666667,0.25
2015-09-17,03:00:00,1.13015,0.00116,7e-05,0.00076,0.0012,-0.00073246,-0.00123266,7.295e-05,0.16666667,0.29166667
2015-09-17,06:00:00,1.13131,0.00117,0.00116,0.00123,0.00192,-0.00126169,-0.00195768,0.00019625,0.25,0.29166667
2015-09-17,09:00:00,1.13248,-0.00116,0.00117,0.00233,0.0024,-0.00162118,-0.00255906,0.00033536,0.33333333,0.33333333
2015-09-17,12:00:00,1.13132,0.00791,-0.00116,1e-05,0.00117,-0.0003075,-0.00114473,0.00032762,0.25,0.29166667
2015-09-17,15:00:00,1.13923,0.00256,0.00791,0.00675,0.00792,-0.00547839,-0.00740846,0.00080633,0.25,0.29166667
2015-09-17,18:00:00,1.14179,-0.00145,0.00256,0.01047,0.00931,-0.00535898,-0.00815606,0.00122157,0.25,0.29166667
2015-09-17,21:00:00,1.14034,-0.00068,-0.00145,0.00111,0.00902,-0.00260603,-0.00548683,0.00131657,0.25,0.25
2015-09-18,00:00:00,1.13966,0.00061,-0.00068,-0.00213,0.00043,-0.00128407,-0.00393291,0.00125201,0.16666667,0.25
2015-09-18,03:00:00,1.14027,0.00425,0.00061,-7e-05,-0.00152,-0.00126277,-0.00371697,0.0011703,0.25,0.25
